Date,Nicosia - Traffic Station,Limassol - Traffic Station,Larnaka - Traffic Station,Paralimni - Traffic Station,Zygi - Industrial Station,EMEP - Agia Marina Xyliatou - Background Station,Pafos - Traffic Station
01/01/2018,32.8,19.4,23.5,22.8,N/A,4.2,19.1
02/01/2018,28.8,27.4,31.1,25.2,22.0,6.2,24.6
03/01/2018,N/A,24.6,24.4,25.9,17.4,7.0,30.6
04/01/2018,N/A,21.8,30.9,33.6,16.3,N/A,23.9
05/01/2018,N/A,25.3,28.6,23.8,N/A,N/A,17.4
06/01/2018,44.6,32.6,39.1,53.1,16.3,9.9,27.8
07/01/2018,44.3,31.5,37.8,36.7,21.3,8.1,28.1
08/01/2018,43.3,44.1,43.4,39.0,17.8,6.7,22.6
09/01/2018,48.2,43.1,37.5,41.0,19.1,10.0,25.4
10/01/2018,53.0,38.2,48.5,38.7,23.0,11.2,35.8
11/01/2018,48.1,48.6,59.7,55.2,32.2,18.1,42.3
12/01/2018,53.2,38.1,50.9,57.3,29.3,N/A,47.9
13/01/2018,34.2,30.9,35.2,41.6,19.1,12.0,32.1
14/01/2018,40.9,27.8,32.7,29.8,N/A,44.7,39.5
15/01/2018,40.3,38.4,41.1,N/A,24.4,15.9,30.4
16/01/2018,39.1,24.7,28.6,N/A,19.6,9.5,24.2
17/01/2018,34.2,23.4,28.2,N/A,17.5,7.7,18.5
18/01/2018,33.8,18.2,N/A,N/A,26.5,N/A,29.3
19/01/2018,25.1,31.5,28.4,N/A,16.8,9.3,29.0
20/01/2018,42.9,34.0,35.1,N/A,14.4,N/A,36.9
21/01/2018,38.0,21.5,29.7,N/A,15.2,N/A,22.9
22/01/2018,74.0,104.2,125.1,N/A,125.1,N/A,107.3
23/01/2018,15.8,22.8,N/A,N/A,25.8,N/A,27.8
24/01/2018,19.8,24.8,N/A,N/A,16.6,9.4,29.5
25/01/2018,16.5,10.2,12.0,N/A,N/A,N/A,13.1
26/01/2018,17.3,27.0,N/A,N/A,N/A,N/A,16.6
27/01/2018,36.5,31.6,24.6,N/A,14.4,15.9,25.7
28/01/2018,39.1,22.9,30.4,N/A,17.1,14.8,28.7
29/01/2018,58.3,33.4,36.5,N/A,19.5,16.2,34.4
30/01/2018,52.4,34.7,34.8,N/A,14.3,14.3,36.7
31/01/2018,48.4,36.8,37.8,N/A,19.0,13.6,40.0
01/02/2018,N/A,41.0,41.0,N/A,17.5,14.4,40.1
02/02/2018,61.1,42.6,49.5,N/A,26.9,21.2,43.0
03/02/2018,55.1,37.1,40.9,N/A,25.6,17.6,31.9
04/02/2018,42.5,37.6,40.2,N/A,26.3,21.5,43.5
05/02/2018,51.5,51.5,52.5,N/A,29.4,23.7,55.9
06/02/2018,64.2,60.3,65.7,N/A,N/A,53.0,79.8
07/02/2018,82.7,69.5,77.5,N/A,N/A,65.5,88.7
08/02/2018,78.2,87.4,79.1,N/A,53.6,70.3,86.8
09/02/2018,93.7,81.6,75.7,N/A,63.5,61.7,79.8
10/02/2018,77.1,73.1,N/A,N/A,68.0,62.4,80.6
11/02/2018,58.6,48.5,N/A,65.1,55.6,58.0,45.2
12/02/2018,34.8,32.0,32.3,32.3,27.8,19.5,29.2
13/02/2018,24.7,24.3,27.8,22.2,25.9,N/A,21.2
14/02/2018,33.2,20.7,N/A,23.6,15.9,24.8,25.1
15/02/2018,52.4,33.1,29.3,22.4,18.4,16.6,32.6
16/02/2018,45.6,58.8,47.0,40.6,32.6,31.6,115.9
17/02/2018,39.1,35.6,N/A,32.0,32.5,N/A,35.6
18/02/2018,28.6,49.5,27.4,33.5,29.3,N/A,36.0
19/02/2018,29.6,23.8,24.0,25.0,25.4,N/A,30.7
20/02/2018,39.6,29.6,31.7,48.1,19.5,N/A,32.0
21/02/2018,44.8,30.2,29.9,42.3,19.8,14.4,31.4
22/02/2018,35.6,24.8,30.7,32.3,16.2,14.7,24.7
23/02/2018,31.9,19.7,29.1,31.5,14.9,15.8,27.1
24/02/2018,37.3,22.6,24.5,28.6,21.1,14.6,22.6
25/02/2018,29.8,12.7,N/A,16.8,19.5,10.4,16.8
26/02/2018,21.9,18.3,23.8,26.2,12.8,11.6,24.5
27/02/2018,37.0,36.7,37.8,38.8,34.7,18.8,34.4
28/02/2018,37.3,26.7,29.1,30.3,N/A,12.1,36.7
01/03/2018,44.7,48.8,N/A,38.5,38.6,30.3,46.9
02/03/2018,30.2,29.0,27.0,31.7,20.6,12.4,30.6
03/03/2018,35.0,27.9,N/A,31.7,19.2,13.2,27.2
04/03/2018,39.3,48.3,49.0,46.8,38.7,22.3,59.7
05/03/2018,187.1,134.1,92.5,93.0,114.7,N/A,200.4
06/03/2018,133.5,162.5,N/A,136.1,125.3,N/A,254.1
07/03/2018,N/A,60.7,N/A,76.6,52.1,55.7,52.1
